Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Emergency_Service
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,Dermatology
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,Dermatology
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,Dermatology
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,Dermatology
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,Dermatology
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,Dermatology
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,Dermatology
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,Dermatology
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,Dermatology
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,Dermatology
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,General Emergency
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,General Emergency
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,General Emergency
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,General Emergency
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,General Emergency
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,General Emergency
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,General Emergency
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,General Emergency
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,General Emergency
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,General Emergency
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,Pneumology
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,Pneumology
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,Pneumology
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,Pneumology
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,,Gastroenterology
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,,Pneumology
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,Pneumology
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,Pneumology
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,Pneumology
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,Pneumology
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,Gastroenterology
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Gastroenterology
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Gastroenterology
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Gastroenterology
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Gastroenterology
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,Gastroenterology
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,Gastroenterology
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,,Gastroenterology
